;Species;t;k€;€_per_kg;€ kg-1;year;month
;Speisekrabbe;0;;;;2010;1
;Speisekrabbe;0;;;;2010;2
;Speisekrabbe;0;;;;2010;3
12;Speisekrabbe;0;0;;;2010;4
12;Speisekrabbe;867.5;2879.4;;3.319193084;2010;5
;Speisekrabbe;1239.5;;;;2010;6
;Speisekrabbe;783.1;;;3;2010;7
;Speisekrabbe;1021.5;;;;2010;8
;Speisekrabbe;1349.9;;;;2010;9
;Speisekrabbe;1458.3;;;;2010;10
;Speisekrabbe;1761.1;;;;2010;11
;Speisekrabbe;386;;;;2010;12
;Speisekrabbe;79.6;;;;2011;1
;Speisekrabbe;63.8;;;;2011;2
11;Speisekrabbe;651.9;1210.5;1;1.85687989;2011;3
;Speisekrabbe;1361.9;;;;2011;4
;Speisekrabbe;482.9;;;;2011;5
;Speisekrabben;1186.7;;;;2011;6
12;Speisekrabbe;1058.4;2777.6;2.6;2.624338624;2011;7
;Speisekrabben;1007.4;;;;2011;8
;Speisekrabbe;458.6;;;;2011;9
12;Speisekrabbe;1824;2795.5;;1.532620614;2011;10
;Speisekrabbe;1702.3;;;;2011;11
;Speisekrabbe;151.1;;;;2011;12
8;Speisekrabben;125;327.5;;2.62;2012;1
12;Speisekrabbe;40.6;145.8;3.59;3.591133005;2012;2
;Speisekrabben;221.7;;;;2012;3
;Speisekrabbe;1284;;;;2012;4
;Speisekrabben;870.7;;;;2012;5
;Speisekrabbe;679.5;;;;2012;6
;Speisekrabbe;868.4;;;;2012;7
;Speisekrabbe;1231.3;;;;2012;8
;Speisekrabbe;1653.6;;;;2012;9
;Speisekrabben;2200.4;;;;2012;10
;Speisekrabbe;1382.4;;;;2012;11
12;Speisekrabbe;251.9;878.6;3;3.487892021;2012;12
;Speisekrabbe;0;;;;2013;1
;Speisekrabbe;55;;;;2013;2
12;Speisekrabbe;101.4;637.8;6;6.289940828;2013;3
13;Speisekrabbe;840;4990.3;5.94;5.940833333;2013;4
11;Speisekrabbe;460.2;2432.7;5;5.286179922;2013;5
11;Speisekrabbe;835.1;5859.6;70;7.016644713;2013;6
;Speisekrabbe;1086.3;;;;2013;7
12;Speisekrabbe;1357.7;7358.5;5;5.41982765;2013;8
;Speisekrabbe;1675.65;;;;2013;9
12;Speisekrabbe;1993.6;4743;2;2.379113162;2013;10
;Speisekrabbe;1241.4;;;;2013;11
;Speisekrabbe;298;;;;2013;12
13;Speisekrabbe;84.4;229.1;;2.714454976;2014;1
;;33;;;;2014;2
12;Speisekrabbe;150.1;689;4;4.590273151;2014;3
12;Speisekrabbe;512.9;2314.2;4;4.511990641;2014;4
;Speisekrabbe;524.6;;;;2014;5
13;Speisekrabbe;517.2;3341.7;;6.461136891;2014;6
