Date;Time;Water_height
01/03/1983;05:56;61
01/03/1983;21:53;68
02/03/1983;06:43;20
02/03/1983;22:20;43
03/03/1983;07:20;3
03/03/1983;23:14;39
04/03/1983;10:45;51
04/03/1983;23:23;63
05/03/1983;10:20;56
05/03/1983;23:53;69
06/03/1983;10:51;61
07/03/1983;00:07;76
07/03/1983;11:15;63
08/03/1983;00:22;28
08/03/1983;13:14;44
09/03/1983;02:03;40
09/03/1983;15:01;57
10/03/1983;03:23;39
10/03/1983;16:10;51
11/03/1983;05:55;74
11/03/1983;16:17;71
12/03/1983;05:33;10
12/03/1983;18:34;24
13/03/1983;06:49;19
13/03/1983;19:36;58
14/03/1983;07:49;48
14/03/1983;20:16;79
15/03/1983;08:36;57
15/03/1983;20:34;81
16/03/1983;05:55;39
16/03/1983;21:31;57
17/03/1983;09:41;44
17/03/1983;21:42;81
18/03/1983;10:00;56
18/03/1983;22:25;69
19/03/1983;10:57;51
19/03/1983;22:43;63
20/03/1983;07:55;29
20/03/1983;23:38;87
21/03/1983;08:51;59
22/03/1983;00:33;119
22/03/1983;11:31;146
22/03/1983;23:51;108
23/03/1983;11:35;50
24/03/1983;04:51;91
24/03/1983;14:51;137
25/03/1983;03:18;69
25/03/1983;17:00;70
26/03/1983;04:54;123
26/03/1983;17:01;100
27/03/1983;07:25;36
27/03/1983;19:11;87
28/03/1983;07:45;51
28/03/1983;19:52;89
29/03/1983;08:48;45
29/03/1983;21:22;63
30/03/1983;09:25;74
30/03/1983;21:15;103
31/03/1983;06:02;61
31/03/1983;22:05;73
01/04/1983;06:51;49
01/04/1983;21:59;53
02/04/1983;10:02;43
02/04/1983;22:32;59
03/04/1983;10:29;58
03/04/1983;22:29;42
04/04/1983;10:37;44
04/04/1983;23:12;42
05/04/1983;11:16;55
05/04/1983;23:12;27
06/04/1983;12:04;78
07/04/1983;01:28;46
07/04/1983;14:12;69
08/04/1983;03:01;33
08/04/1983;15:45;77
09/04/1983;04:10;48
09/04/1983;16:41;68
10/04/1983;04:46;25
10/04/1983;18:13;66
11/04/1983;07:34;57
11/04/1983;19:00;90
12/04/1983;06:28;64
12/04/1983;19:22;89
13/04/1983;04:56;44
13/04/1983;20:17;63
14/04/1983;08:24;48
14/04/1983;20:34;71
15/04/1983;08:52;51
15/04/1983;21:10;60
16/04/1983;09:21;43
16/04/1983;21:58;59
17/04/1983;10:34;62
17/04/1983;22:34;74
18/04/1983;10:03;65
18/04/1983;22:49;68
19/04/1983;11:13;89
19/04/1983;23:37;66
20/04/1983;10:49;67
20/04/1983;22:54;23
21/04/1983;13:19;62
22/04/1983;01:44;36
22/04/1983;13:58;65
23/04/1983;03:30;21
23/04/1983;15:48;59
24/04/1983;05:49;28
24/04/1983;17:00;62
25/04/1983;06:35;28
25/04/1983;18:54;72
26/04/1983;07:43;45
26/04/1983;19:44;69
27/04/1983;08:48;56
27/04/1983;20:06;95
28/04/1983;08:37;73
28/04/1983;20:42;79
29/04/1983;09:20;61
29/04/1983;21:16;65
30/04/1983;09:30;57
30/04/1983;21:48;46
01/05/1983;10:23;60
01/05/1983;22:15;68
02/05/1983;10:15;78
02/05/1983;23:11;59
03/05/1983;11:11;85
03/05/1983;22:14;45
04/05/1983;11:25;65
04/05/1983;23:03;29
05/05/1983;11:52;49
06/05/1983;00:04;4
06/05/1983;13:43;44
07/05/1983;01:17;17
07/05/1983;15:11;70
08/05/1983;03:21;37
08/05/1983;16:29;72
09/05/1983;04:21;40
09/05/1983;17:04;61
10/05/1983;06:13;59
10/05/1983;18:00;77
11/05/1983;07:21;39
11/05/1983;19:32;72
12/05/1983;07:33;52
12/05/1983;19:53;98
13/05/1983;08:32;65
13/05/1983;20:41;64
14/05/1983;09:27;51
14/05/1983;21:15;59
15/05/1983;09:32;59
15/05/1983;22:10;65
16/05/1983;10:03;62
16/05/1983;22:01;57
17/05/1983;10:47;72
17/05/1983;23:11;38
18/05/1983;11:30;66
18/05/1983;20:56;31
19/05/1983;12:23;75
20/05/1983;00:25;25
20/05/1983;13:27;66
21/05/1983;03:17;23
21/05/1983;14:17;72
22/05/1983;04:08;31
22/05/1983;16:04;72
23/05/1983;05:24;31
23/05/1983;17:13;68
24/05/1983;06:21;33
24/05/1983;18:23;68
25/05/1983;06:58;45
25/05/1983;18:53;86
26/05/1983;07:06;73
26/05/1983;19:50;89
27/05/1983;08:04;78
27/05/1983;19:52;83
28/05/1983;08:53;63
28/05/1983;21:17;52
29/05/1983;09:23;61
29/05/1983;21:38;49
